object,label,type,solids,faces,edges,xmin_mm,ymin_mm,zmin_mm,xmax_mm,ymax_mm,zmax_mm,xlen_mm,ylen_mm,zlen_mm
Part__Feature121,全倾转无人机总体装配模型121,Part::Feature,0,16,69,-212.7816498127474,35.80585775181141,798.8521854959286,661.7857052220864,361.25648898079686,894.4304735503686,874.5673550348338,325.45063122898546,95.57828805444001
Part__Feature122,全倾转无人机总体装配模型122,Part::Feature,0,2,6,-212.7816498127474,49.920817634374394,798.8521854959286,654.063295374083,361.25648898079686,894.4304735503686,866.8449451868305,311.3356713464225,95.57828805444001
Part__Feature123,全倾转无人机总体装配模型123,Part::Feature,0,11,44,-215.61141990413935,35.956518848829525,797.7190618754662,654.063295374083,361.25648898079686,894.4304735503686,869.6747152782224,325.2999701319673,96.71141167490237
Part__Feature124,全倾转无人机总体装配模型124,Part::Feature,0,7,43,292.51532973889067,151.01059150973495,830.0809437266898,302.68601403881564,176.240457693099,863.9451503691006,10.170684299924972,25.229866183364038,33.86420664241075
Part__Feature125,全倾转无人机总体装配模型125,Part::Feature,0,10,59,277.8913531947991,60.62919299284386,808.710452682868,289.80249448869654,118.70980151835668,838.0796950102184,11.911141293897458,58.08060852551282,29.369242327350435
Part__Feature126,全倾转无人机总体装配模型126,Part::Feature,0,4,19,280.0591308641314,92.01405640417302,831.8804610111827,293.2730022521977,156.75202267987865,864.9937570209659,13.213871388066309,64.73796627570563,33.1132960097832
Part__Feature127,全倾转无人机总体装配模型127,Part::Feature,0,2,6,288.36383147018955,151.80909532393144,859.9944169128731,290.15611184332107,155.94423052510783,864.0133844514535,1.7922803731315184,4.135135201176382,4.018967538580341
Part__Feature128,全倾转无人机总体装配模型128,Part::Feature,0,2,11,-220.48371895147977,94.11508142955414,797.7678005057237,-176.18189957850086,362.2577303496857,894.5999664608366,44.30181937297891,268.14264892013153,96.83216595511294
Part__Feature129,全倾转无人机总体装配模型129,Part::Feature,0,1,4,-220.55369123031684,93.44173056180843,799.7525718677739,-216.5288732624645,106.63754497413275,804.7071591538148,4.024817967852357,13.195814412324324,4.954587286040919
Part__Feature130,全倾转无人机总体装配模型130,Part::Feature,0,6,31,-337.07991063738564,164.77878640015564,804.5965250560882,-269.5026577023798,223.4588394936008,848.466408354437,67.57725293500584,58.68005309344517,43.86988329834878
Part__Feature131,全倾转无人机总体装配模型131,Part::Feature,0,25,157,-399.30124112994616,36.526752116888495,795.657019824638,653.6473129331292,389.4302824615131,897.7530305964692,1052.9485540630753,352.90353034462464,102.09601077183117
Part__Feature132,全倾转无人机总体装配模型132,Part::Feature,0,1,5,-288.9545175851538,184.71101817785905,814.8585962765594,-271.14235847155146,206.42473785014158,835.6863400988568,17.81215911360232,21.713719672282537,20.827743822297407
Part__Feature133,全倾转无人机总体装配模型133,Part::Feature,0,3,6,-228.8186608170378,117.16097401406577,866.8357542960329,-212.07456233456523,134.9106314220949,885.4617469980936,16.744098482472566,17.749657408029123,18.625992702060785
Part__Feature134,全倾转无人机总体装配模型134,Part::Feature,0,1,2,-243.6454403481166,119.42089046933772,867.0794474472963,-228.80757692394144,125.15953839477613,881.1117576274977,14.837863424175168,5.738647925438414,14.03231018020142
Part__Feature135,全倾转无人机总体装配模型135,Part::Feature,0,1,6,-244.70566958534465,128.37212705858545,870.0018364847456,-209.10809803903982,137.97040431543778,887.1330404825034,35.597571546304835,9.598277256852327,17.13120399775778
Part__Feature136,全倾转无人机总体装配模型136,Part::Feature,0,1,16,-247.26286278390214,137.59681983832365,869.3545882205581,-193.68595839400592,212.24402364202638,896.1782068412983,53.576904389896214,74.64720380370272,26.823618620740262
Part__Feature137,全倾转无人机总体装配模型137,Part::Feature,0,1,8,-247.35963550754053,129.30020116777646,869.9369475642966,-205.57433132070668,142.58587304436548,889.3180905668876,41.785304186833855,13.28567187658902,19.38114300259099
Part__Feature138,全倾转无人机总体装配模型138,Part::Feature,0,12,36,-449.68809889185525,542.0771054137585,939.1053717237018,145.5829778069672,664.0353963751529,1113.8646862092655,595.2710766988224,121.95829096139437,174.75931448556378
Part__Feature139,全倾转无人机总体装配模型139,Part::Feature,0,8,18,-202.2504811817103,544.4239231095337,979.9609600023875,-111.68247924199989,601.3475235138952,1070.7644910486429,90.56800193971043,56.92360040436154,90.80353104625533
Part__Feature140,全倾转无人机总体装配模型140,Part::Feature,0,31,183,-266.5446740451554,78.7677829746671,797.7190618754662,-126.28004680368855,569.9326558307799,1051.6290842178787,140.26462724146683,491.1648728561128,253.9100223424125
Part__Feature141,全倾转无人机总体装配模型141,Part::Feature,0,1,8,-193.49448229906054,90.915395160976,869.129377886231,-192.58527528309278,96.84690798810783,875.1285860159497,0.9092070159677519,5.931512827131826,5.9992081297186814
Part__Feature142,全倾转无人机总体装配模型142,Part::Feature,0,64,326,-275.0817393552734,75.111672892036,802.5614737241978,-115.42699561205464,575.2316083735953,1068.6759958574912,159.65474374321875,500.11993548155937,266.11452213329346
Part__Feature143,全倾转无人机总体装配模型143,Part::Feature,0,1,8,-268.6823671502147,120.25005160423171,823.6292690625615,-267.7731601342469,126.18156443136365,829.6284771922805,0.9092070159678087,5.9315128271319395,5.999208129718909
